institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng,institution_type_tr,institution_type_eng,care_type
2831,Arnavutköy,Arnavutkoy,Terkos Parkı,41.3064461835762,28.6756178694339,TERKOS,TERKOS,Park,Park,genellestirilmis
2832,Beykoz,Beykoz,Muhtar İrfan Çaker Parkı,41.0781573976027,29.076094360287,GÖZTEPE,GOZTEPE,Park,Park,genellestirilmis
2833,Arnavutköy,Arnavutkoy,Hanımeli Parkı,41.3061462131282,28.6812730902004,TERKOS,TERKOS,Park,Park,genellestirilmis
2834,Arnavutköy,Arnavutkoy,Turgut Özal Parkı,41.1955409460727,28.7478336480705,İSLAMBEY,ISLAMBEY,Park,Park,genellestirilmis
2835,Arnavutköy,Arnavutkoy,Engelliler Parkı,41.183113840419,28.7466025425057,ANADOLU,ANADOLU,Park,Park,genellestirilmis
2836,Arnavutköy,Arnavutkoy,Koca Yusuf Parkı,41.15764546596,28.6111427149147,HASTANE,HASTANE,Park,Park,genellestirilmis
2837,Arnavutköy,Arnavutkoy,Mürsel Sokak Parkı,41.1142307143734,28.6525596987312,DELİKLİKAYA,DELIKLIKAYA,Park,Park,genellestirilmis
2838,Arnavutköy,Arnavutkoy,Yavuz Selim Parkı,41.2009598094443,28.7409466338308,YAVUZ SELİM,YAVUZ SELIM,Park,Park,genellestirilmis
2839,Ümrani̇ye,Umraniye,Park,41.0507556084778,29.1073867440706,TOPAĞACI,TOPAGACI,Park,Park,genellestirilmis
2840,Arnavutköy,Arnavutkoy,Şehit Polis İlhani Çetindere,41.2115788678549,28.7356737585147,YAVUZ SELİM,YAVUZ SELIM,Park,Park,genellestirilmis
2841,Ümrani̇ye,Umraniye,Şehitler Parkı,41.0343428692817,29.0959170268,ELMALIKENT,ELMALIKENT,Park,Park,genellestirilmis
2842,Ümrani̇ye,Umraniye,Fevzi Çakmak Parkı,41.0069369719208,29.1691926652645,ESENŞEHİR,ESENSEHIR,Park,Park,genellestirilmis
2843,Beşi̇ktaş,Besiktas,Park,41.0503594553027,29.0047580410568,ABBASAĞA,ABBASAGA,Park,Park,genellestirilmis
2844,Eyüpsultan,Eyupsultan,Düğmeciler Parkı,41.0457183014458,28.9230875524971,DÜĞMECİLER,DUGMECILER,Park,Park,genellestirilmis
2845,Ümrani̇ye,Umraniye,Seyrantepe Parkı,41.0485059941394,29.0928005200865,DUMLUPINAR,DUMLUPINAR,Park,Park,genellestirilmis
2846,Ataşehi̇r,Atasehir,Yunus Emre Parkı,41.0010475787282,29.0857419449195,ESATPAŞA,ESATPASA,Park,Park,genellestirilmis
2847,Ümrani̇ye,Umraniye,Karacaoğlan Parkı,41.0434653524889,29.1040132154972,KAZIM KARABEKİR,KAZIM KARABEKIR,Park,Park,genellestirilmis
2848,Beykoz,Beykoz,Camcılar Parkı,41.1188063976864,29.0984717260332,İNCİRKÖY,INCIRKOY,Park,Park,genellestirilmis
2849,Kartal,Kartal,Nergis Parkı,40.8915521485248,29.1869935436847,KARLIKTEPE,KARLIKTEPE,Park,Park,genellestirilmis
2850,Kartal,Kartal,Bulgaristan Varna Parkı,40.8945977393322,29.1934397304901,KARLIKTEPE,KARLIKTEPE,Park,Park,genellestirilmis
2851,Çatalca,Catalca,Akasya Parkı,41.1406451342388,28.4615222771666,FERHATPAŞA,FERHATPASA,Park,Park,genellestirilmis
2852,Beykoz,Beykoz,Ormancılar Sitesi Çocuk Parkı,41.1007819701776,29.0721680573393,KANLICA,KANLICA,Park,Park,cocuk
2853,Çatalca,Catalca,Yazlıkköy Park,41.2930205320087,28.519432182505,YAZLIK,YAZLIK,Park,Park,genellestirilmis
2854,Başakşehi̇r,Basaksehir,Güvercintepe Parkı,41.07324145227,28.7511660054889,GÜVERCİNTEPE,GUVERCINTEPE,Park,Park,genellestirilmis
2855,Çatalca,Catalca,Kızılcaali KöyüPark,41.2357643494223,28.5602969580971,KIZILCAALİ,KIZILCAALI,Park,Park,genellestirilmis
2856,Esenyurt,Esenyurt,Evren Mevkii Park,41.0645096942688,28.6578481607287,ORHAN GAZİ,ORHAN GAZI,Park,Park,genellestirilmis
2857,Çatalca,Catalca,Örcünlü Park-2,41.2242531656453,28.5241675813246,ÖRCÜNLÜ,ORCUNLU,Park,Park,genellestirilmis
2858,Esenyurt,Esenyurt,Bilal Yazkurt Parkı,41.0323550978483,28.669623925063,PINAR,PINAR,Park,Park,genellestirilmis
2859,Sultanbeyli̇,Sultanbeyli,Sultanbeyli Necip Fazıl Mah. Semt Parkı,40.9417927431193,29.2760085584093,NECİP FAZIL,NECIP FAZIL,Park,Park,genellestirilmis
2860,Şi̇le,Sile,Park,41.1069180196133,29.8246377966315,İSAKÖY,ISAKOY,Park,Park,genellestirilmis
2861,Sultanbeyli̇,Sultanbeyli,Tevhir Sok. Parkı,40.9464664899012,29.3047789856215,AKŞEMSETTİN,AKSEMSETTIN,Park,Park,genellestirilmis
2862,Çatalca,Catalca,Tayfun Topçu Parkı,41.1427717928904,28.4678491677017,FERHATPAŞA,FERHATPASA,Park,Park,genellestirilmis
2863,Kağithane,Kagithane,Örnektepe Parkı,41.0571178503897,28.9573269699882,MEHMET AKİF ERSOY,MEHMET AKIF ERSOY,Park,Park,genellestirilmis
2864,Kağithane,Kagithane,F. Laika Süzer Parkı,41.0816262216085,28.9693885088802,MERKEZ,MERKEZ,Park,Park,genellestirilmis
2865,Kağithane,Kagithane,Şelale Parkı,41.0836247959177,28.9669384047058,MERKEZ,MERKEZ,Park,Park,genellestirilmis
2866,Kağithane,Kagithane,Havuzlar Parkı,41.0881246067861,28.96790601372,MERKEZ,MERKEZ,Park,Park,genellestirilmis
